"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2022","388.50","393.10","395.50","388.00","156.67K","-2.01%"
"09/12/2022","396.47","394.90","399.00","393.51","139.81K","0.58%"
"09/09/2022","394.20","395.89","397.00","392.00","171.17K","0.43%"
"09/08/2022","392.50","394.51","396.50","391.98","104.19K","-0.63%"
"09/07/2022","394.98","397.00","399.00","393.00","92.28K","-0.16%"
"09/06/2022","395.60","393.89","398.20","388.88","245.85K","1.10%"
"09/05/2022","391.30","401.50","402.99","391.12","359.03K","-2.46%"
"09/02/2022","401.16","401.93","406.50","400.15","473.64K","0.04%"
"09/01/2022","401.00","399.17","408.80","398.00","1.44M","0.93%"
"08/31/2022","397.32","392.05","403.00","391.00","977.12K","1.10%"
"08/30/2022","393.00","400.00","401.00","391.00","971.96K","0.31%"
"08/29/2022","391.80","382.25","394.78","372.00","846.48K","2.20%"
"08/26/2022","383.38","389.00","397.90","382.30","975.58K","-1.57%"
"08/25/2022","389.51","391.99","393.55","388.00","560.43K","-0.63%"
"08/24/2022","391.99","388.00","397.50","382.10","1.30M","3.43%"
"08/23/2022","379.00","377.00","381.25","372.50","701.59K","2.44%"
"08/22/2022","369.98","370.05","374.80","368.00","198.86K","-1.35%"
"08/19/2022","375.06","372.00","377.90","368.60","229.64K","1.37%"
"08/18/2022","370.00","386.00","387.90","370.00","589.82K","-2.94%"
"08/17/2022","381.20","359.00","388.54","359.00","784.23K","5.16%"
"08/16/2022","362.50","366.10","368.00","361.00","228.47K","-1.23%"
"08/15/2022","367.00","364.00","368.00","360.00","562.90K","1.66%"
"08/12/2022","361.00","359.70","364.00","356.50","107.83K","0.59%"
"08/11/2022","358.90","366.40","366.40","358.00","454.16K","-1.62%"
"08/10/2022","364.80","360.00","368.20","360.00","541.78K","1.35%"
"08/05/2022","359.94","360.00","361.01","351.00","192.70K","0.04%"
"08/04/2022","359.78","364.99","364.99","358.50","221.75K","-0.61%"
"08/03/2022","362.00","357.20","363.99","357.20","441.10K","1.17%"
"08/02/2022","357.80","351.00","360.50","351.00","248.29K","0.79%"
"08/01/2022","354.99","347.64","360.40","347.64","516.58K","2.11%"
"07/29/2022","347.64","350.00","353.99","344.02","417.94K","-0.53%"
"07/28/2022","349.50","342.00","365.50","342.00","899.11K","1.88%"
"07/27/2022","343.05","336.02","343.48","335.00","155.97K","2.25%"
"07/26/2022","335.50","337.72","341.97","335.00","155.65K","-1.29%"
"07/25/2022","339.90","340.90","340.99","333.00","133.68K","-0.32%"
"07/22/2022","340.99","339.99","344.00","330.54","357.24K","2.71%"
"07/21/2022","332.00","340.95","341.45","330.04","322.69K","-2.21%"
"07/20/2022","339.50","339.00","340.00","335.00","155.07K","0.58%"
"07/19/2022","337.55","341.00","346.50","337.28","264.51K","-1.53%"
